summary_path,reference_path,METEOR,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore,Summary Coverage,Cosine Similarity
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_01_2023_01_14-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_01_2023_01_14.txt,0.05493140430579845,0.0003131657777499053,0.1515265736901621,0.02036967182195398,0.07538635506973237,0.7716919779777527,0.08859060402684564,0.5671435647682872
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_01_2023_01_14-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_01_2023_01_14.txt,0.05611109880493613,0.0003041950011983351,0.14269535673839184,0.019644880997355497,0.07097017742544358,0.7711184620857239,0.08456375838926175,0.5790538357238405
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_01_2023_01_14-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_01_2023_01_14.txt,0.058551803386723104,0.00020179444159247137,0.1584385763490241,0.031405591727307544,0.07194795254496747,0.7813536524772644,0.11409395973154363,0.6607435590744072
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_01_2023_01_14-summary_4.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_01_2023_01_14.txt,0.06861190157715184,0.0008065379767823148,0.18040089086859687,0.03789004457652303,0.08611729769858946,0.7739578485488892,0.11006711409395974,0.6528834169239454
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_01_2023_01_14-summary_5.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_01_2023_01_14.txt,0.05661261676091367,0.00013588392506739514,0.14817629179331307,0.025095057034220533,0.067629179331307,0.7842442393302917,0.09932885906040269,0.5201868402969928
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_02_2023_01_21-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_02_2023_01_21.txt,0.07521109855145636,0.0005460422803512805,0.19132767098793024,0.03400447427293065,0.09387572641931158,0.7795053124427795,0.10153846153846154,0.5888512938404992
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_02_2023_01_21-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_02_2023_01_21.txt,0.06793815816357672,0.00035248635299274647,0.18082689686506134,0.030013642564802188,0.08723307587460244,0.7766522169113159,0.10461538461538461,0.5580715520095821
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_02_2023_01_21-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_02_2023_01_21.txt,0.0675009263443389,0.0005294458312426974,0.18621973929236496,0.035414725069897485,0.0856610800744879,0.7820432186126709,0.12615384615384614,0.5567956463905852
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_02_2023_01_21-summary_4.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_02_2023_01_21.txt,0.0746751408150651,0.00044663713346972437,0.1981900452488688,0.035326086956521736,0.09592760180995474,0.7779814004898071,0.10615384615384615,0.5519654785414794
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_02_2023_01_21-summary_5.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_02_2023_01_21.txt,0.07314373331973532,0.0002246355037965761,0.1942909760589319,0.02580645161290323,0.09760589318600368,0.7784581184387207,0.09846153846153846,0.5313189442780988
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_03_2023_01_28-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_03_2023_01_28.txt,0.05133437570162965,0.00014946365597568993,0.14431673052362706,0.016613418530351438,0.07279693486590039,0.7827615141868591,0.0995405819295559,0.5945175215145261
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_03_2023_01_28-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_03_2023_01_28.txt,0.04757997154793681,8.97474436596055e-05,0.12988691437802907,0.01616553507921112,0.06720516962843295,0.7807786464691162,0.08575803981623277,0.5447122328503365
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_03_2023_01_28-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_03_2023_01_28.txt,0.05809549217674181,0.00037699289332559827,0.1534559289790742,0.03426395939086294,0.07736207989854152,0.7852445244789124,0.12557427258805512,0.6350012653311813
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_03_2023_01_28-summary_4.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_03_2023_01_28.txt,0.05165959860682512,0.00016945154404005163,0.13367444835305403,0.02368,0.07291333546530221,0.7832216024398804,0.0903522205206738,0.5863814861115703
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_03_2023_01_28-summary_5.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_03_2023_01_28.txt,0.04640885363893679,5.176659445756626e-05,0.1257328990228013,0.026075619295958277,0.0703583061889251,0.7858472466468811,0.08422664624808576,0.6307102323885898
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_04_2023_02_04-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_04_2023_02_04.txt,0.0601985342678395,0.00026648648132373144,0.1633259094283593,0.02823179791976226,0.08092056421677803,0.7907673120498657,0.10893854748603352,0.6166911434873239
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_04_2023_02_04-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_04_2023_02_04.txt,0.0520338395818486,0.00015091787690069488,0.13990221887927792,0.02333458788106887,0.07747273411056788,0.7811878323554993,0.09497206703910614,0.5201194150836408
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_04_2023_02_04-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_04_2023_02_04.txt,0.052744889043933436,0.00019733029231468974,0.14542728635682156,0.02700675168792198,0.07496251874062969,0.7839187383651733,0.0893854748603352,0.5528300369405338
