tag_name,cosine_similarity
discussion,0.5487
fiction,0.5184
rhetoric,0.4326
food,0.3705
cults,0.3131
intellectually,0.2773
laughter,0.2744
cities,0.2695
fiction,0.2621
chess,0.2562
moment,0.2476
celebrities,0.2444
fiction,0.2405
scandal,0.2393
religion,0.2349
prophecy,0.2344
organization,0.2282
cult,0.2256
absurdity,0.1945
temporal,0.1813
instantaneous,0.1689
science,0.1679
strategy,0.1618
controversy,0.1564
agency,0.1342
rationality,0.1291
power,0.1263
rations,0.1244
media,0.1120
science,0.0732
media,0.0709
power,0.0618
control,0.0459
