tag_name,cosine_similarity
taxation,0.5347
taxation,0.4658
taxation,0.4637
corruption,0.3442
disorganization,0.3202
fiscalpolicy,0.3017
pause,0.3015
the leader of the Law and Justice party in Poland. Is there anything else I can help you with?,0.2771
management,0.2666
relaxation,0.2474
poverty,0.2449
controls,0.2248
bureaucracy,0.2103
eugenics,0.2063
politics,0.2059
surveillance,0.2020
freedom,0.2014
liberty,0.2007
stress,0.1928
economics,0.1896
I cannot generate tags for a text that appears to be a political speech or a manifesto by Jarosław Kaczyński,0.1626
tv,0.1517
kontroler,0.1302
inequality,0.1196
fundraising,0.1127
zasto,0.1092
mess,0.1048
emitologia,0.0701
pollution,0.0681
