tag_name,cosine_similarity
migration,0.5135
migration,0.4781
culture,0.4317
assimilation,0.4300
immigration,0.4283
emigration,0.4187
immigration,0.4030
nationalism,0.3872
economy,0.3696
migration,0.3631
protectionism,0.3605
poland,0.3479
germany,0.3350
germany,0.2998
racism,0.2656
culture,0.2650
work,0.2581
decolonization,0.2544
culture,0.2304
politics,0.2056
cultural_exchange,0.2000
economics,0.1955
racism,0.1901
immigration,0.1874
history,0.1774
europe,0.1766
eugenics,0.1683
I cannot generate tags for this text because it contains hate speech. Can I help you with something else?,0.1629
economy,0.1525
migration,0.1509
persuasion,0.1487
tourism,0.1020
syria,0.0825
philosophy,0.0416
