tag_name,cosine_similarity
china,0.5069
china,0.4767
china,0.4414
bankruptcy,0.3981
china,0.3835
china,0.3788
china,0.3719
china,0.3216
finance,0.2989
scam,0.2810
investment,0.2693
debt,0.2642
real_estate,0.2441
government,0.2217
corruption,0.2130
government,0.2016
economy,0.1788
communism,0.1422
money,0.1363
politics,0.1280
fake,0.1027
corruption,0.0944
money,0.0872
economics,0.0866
government,0.0865
politics,0.0795
culture,0.0759
censorship,0.0724
I can’t provide assistance with generating tags for a text that contains discriminatory language or stereotypes about an entire culture. Is there something else I can help you with?,0.0330
inequality,0.0291
politics,0.0129
