tag_name,cosine_similarity
predecessor,0.1551
ideologies,0.5029
earnings,0.2291
culture,0.2529
tom_cruise,0.3462
impact,0.2050
socialism,0.2689
prophecy,0.2535
movie_reviews,0.3364
society,0.2019
power,0.2257
sexualorientation,0.3772
ring_of_power,0.5252
affect,0.2072
interview,0.2349
profits,0.1976
data,0.1830
oscars,0.3107
finance,0.3022
maverick,0.1569
incentivization,0.4376
george-lucas,0.3202
workers,0.2179
series,0.0769
movie,0.2571
fanrebellion,0.4312
trilogy,0.2217
film,0.1422
reviews,0.1995
comparison,0.1904
investment,0.1867
set,0.2539
streaming_services,0.2623
production,0.1929
box_office,0.3458
dollars,0.2536
exclusion,0.1979
cinema,0.0604
money,0.2518
blockbuster,0.2604
audience-reaction,0.3808
viewers,0.2353
racism,0.2907
henry-cavill,0.4046
fraud,0.2394
reality,0.3030
movies,0.2624
discrimination,0.2828
industries,0.2325
equality,0.2532
apocalypse,0.2453
release,0.1919
doom,0.2169
audience,0.2095
media,0.2267
politics,0.3008
economist,0.2507
communism,0.2194
analysis,0.2039
film_production,0.3399
boasting,0.4129
minority,0.2219
industry,0.2786
movie_success,0.3742
billion,0.2319
cultural,0.2163
hollywood,0.2226
star-wars,0.4182
peter_jackson,0.3546
sarah-the-witcher,0.5460
parrot,0.1902
amazon,0.2312
studio,0.1927
filmindustry,0.4985
expectations,0.1585
decision-making,0.4615
shop,0.2156
failure,0.2056
meme,0.3883
woke,0.2832
survival,0.2673
cost,0.1951
tv,0.1576
ideology,0.2740
premiere,0.2647
criticism,0.2393
oppression,0.2079
climatechange,0.3343
foundation,0.2221
movie-saga,0.3419
budget,0.1362
representation,0.2309
gender,0.2343
catastrophe,0.2563
economic,0.2616
propaganda,0.2723
end_of_world,0.5098
actors,0.2433
management,0.2597
doomsday,0.4041
business,0.2760
financial_expert,0.3317
film-franchise,0.2626
blockbusters,0.2660
financial,0.2155
quality,0.1582
billions,0.2689
theft,0.2546
eschatology,0.3642
profit,0.2266
success,0.2396
destruction,0.3587
apocalyptic,0.1922
entertainment,0.1433
disfiguration,0.4881
conversation,0.2357
tyranny,0.4978
the-witcher,0.4735
hit,0.2638
jeff-bezos,0.4675
victimization,0.4179
funding,0.2077
preparation,0.2163
bankruptcy,0.2293
tv_series,0.2595
