tag_name,cosine_similarity
agriculture,0.4010
capitalism,0.3541
farm,0.3522
russia,0.3404
economy,0.3403
ukraine,0.3366
communism,0.3235
economics,0.3163
geopolitics,0.3156
socialism,0.3060
corruption,0.2820
europe,0.2768
nationalism,0.2748
fascism,0.2645
history,0.2575
greed,0.2513
politics,0.2442
idiocy,0.2283
critical thinking,0.2249
patriotism,0.2143
absurdity,0.2138
war,0.2125
critique,0.2093
skepticism,0.2061
surveillance,0.1889
criticism,0.1877
logic,0.1860
mediterranean,0.1856
violence,0.1822
sarcasm,0.1766
finance,0.1746
humor,0.1741
money,0.1733
yacht,0.1714
immigration,0.1702
rhetoric,0.1683
ethics,0.1653
wars,0.1645
oligarch,0.1638
intelligence,0.1634
dilemma,0.1630
financial,0.1617
philosophy,0.1569
racism,0.1562
oligarchy,0.1533
media literacy,0.1532
media,0.1519
authenticity,0.1476
water,0.1404
art,0.1385
environment,0.1331
morality,0.1253
maritime,0.1209
autism,0.1178
idiot,0.1128
moral,0.1123
fatal,0.1093
blood,0.1064
poetry,0.1009
sailing,0.0986
sacrifice,0.0884
military,0.0846
sea,0.0676
river,0.0567
dark,0.0488
shipwreck,0.0243
bleeding,0.0212
storm,0.0196
rescue,0.0055
