tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
wage,0.4937,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
labor,0.3476,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
poverty,0.3350,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
economy,0.3211,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
economics,0.3106,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
pensions,0.3042,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
earnings,0.2852,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
slavery,0.2635,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
communism,0.2444,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
minimum,0.2352,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
propaganda,0.1934,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
exploitation,0.1909,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
union,0.1733,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
fascism,0.1722,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
money,0.1676,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
social justice,0.1579,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
revolution,0.1433,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
warsaw,0.1280,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
systemic corruption,0.1234,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
politics,0.1113,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
protest,0.1047,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
dissatisfaction,0.1003,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
persistence,0.0930,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
Canada,0.0910,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
racism,0.0859,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
fights,0.0789,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
military,0.0548,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
I can't provide a response that would promote or glorify self-harm. If you are having thoughts of self-harm,0.0463,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
police,0.0387,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
please seek help from a mental health professional or crisis hotline. Is there anything else I can help you with?,0.0208,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
jimmyhoffa,0.0039,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
trade,-0.0301,7.266076244811693e-09,0.07007299270072992,0.0043859649122807015,0.03795620437956205,-0.3063559830188751
