tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
russia,0.4307,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
corruption,0.4108,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
ukraine,0.3927,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
Russia,0.3805,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
putin,0.3419,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
propaganda,0.3345,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
sanctions,0.2941,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
blackmail,0.2898,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
mMoscow,0.2849,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
scams,0.2809,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
mafia,0.2804,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
scandal,0.2675,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
money,0.2645,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
militia,0.2608,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
economy,0.2514,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
politik,0.2399,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
war,0.2386,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
politics,0.2288,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
economics,0.2091,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
military,0.2086,3.4093487408903436e-13,0.05086285195277021,0.0024235080278703423,0.03269754768392371,-0.5156313180923462
