tag_name,cosine_similarity
billionaires,0.4842
billionaire,0.4309
wealth,0.3700
inflation,0.3604
investments,0.3398
value,0.2962
real estate,0.2787
finance,0.2775
economics,0.2740
economy,0.2738
investing,0.2636
realestate,0.2610
valuations,0.2552
poverty,0.2499
bubble,0.2480
stock,0.2368
real_estate,0.2356
industrialism,0.2228
sales,0.2198
bargains,0.2172
losses,0.2002
price,0.1965
money,0.1893
bargain,0.1886
books,0.1849
valuation,0.1834
demand,0.1803
market,0.1685
miscalculation,0.1635
crisis,0.1559
prices,0.1554
technology,0.1512
mortgage,0.1491
cars,0.1475
sale,0.1395
cinema,0.1350
evaluation,0.1340
inequality,0.1327
hollywood,0.1237
sarcasm,0.1223
boxoffice,0.1165
politics,0.1156
concentration,0.1109
mass culture,0.1098
china,0.1094
success,0.1088
rage,0.1070
China,0.1063
governance,0.0994
satire,0.0986
lobbying,0.0984
mass,0.0963
movies,0.0947
entertainment,0.0930
psychology,0.0910
scandal,0.0909
amazon,0.0902
fantasy,0.0900
car,0.0900
electronics,0.0869
propaganda,0.0867
persuasion,0.0852
blockbuster,0.0850
media,0.0842
crash,0.0835
failure,0.0830
losers,0.0819
tesla,0.0785
tickets,0.0784
wallet,0.0760
risk,0.0757
expectation,0.0734
parody,0.0729
disillusionment,0.0695
music,0.0693
bias,0.0660
skepticism,0.0614
uncertainty,0.0590
studios,0.0570
megafactory,0.0553
film,0.0551
misinformation,0.0519
interview,0.0518
movie,0.0508
musicians,0.0506
distribution,0.0506
electricvehicles,0.0472
geralt,0.0461
criticism,0.0443
manipulation,0.0434
gaming,0.0424
chips,0.0398
polarization,0.0397
jollywood,0.0377
tv,0.0374
vigilantism,0.0341
saturation,0.0332
dissent,0.0268
payments,0.0264
culture,0.0222
radio,0.0192
disappointment,0.0189
motivation,0.0187
goodbye,0.0185
trade,0.0131
us,0.0126
negative,0.0123
wydania,0.0116
fear,0.0085
bear,0.0069
pontification,0.0066
poland,0.0061
protest,0.0048
polska,0.0039
controversy,0.0029
supplychain,0.0017
dependence,0.0008
anger,-0.0002
musical,-0.0014
gloom,-0.0052
polish,-0.0076
electric,-0.0108
broadcast,-0.0115
fans,-0.0135
censorship,-0.0205
taiwan,-0.0231
wifi,-0.0234
sapkowski,-0.0235
resurgence,-0.0267
fandom,-0.0270
Sapkowski,-0.0277
automotive,-0.0280
rant,-0.0295
streaming,-0.0395
mistake,-0.0436
glos,-0.0447
promotion,-0.0452
