tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
poland,0.4456,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
entrepreneurs,0.3518,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
Entrepreneurship,0.3374,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
businesses,0.3294,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
entrepreneurship,0.3109,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
business,0.2830,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
Business,0.2690,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
economy,0.2630,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
trends,0.2457,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
europe,0.2092,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
media,0.1356,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
I need a complete sentence or more text to provide relevant tags. Please provide the full context of the paragraph or section you want tagged.,0.0972,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
data,0.0727,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
Sorry,0.0377,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
complexity,0.0332,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
mature,0.0246,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
Conditions,0.0075,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
energy,0.0013,4.913895860674439e-09,0.07903402854006586,0.011001100110011002,0.0592755214050494,-0.2952938973903656
